date,home_team,score,away_team
06-12-2023,Busan I Park,2 - 1,Suwon City FC
26-02-2023,Pohang Steelers,3 - 2,Daegu FC
04-03-2023,Daegu FC,1 - 1,Jeju United FC
11-03-2023,Gangwon FC,1 - 1,Daegu FC
19-03-2023,Daegu FC,2 - 0,Jeonbuk Motors
01-04-2023,Incheon United,0 - 0,Daegu FC
08-04-2023,FC Seoul,3 - 0,Daegu FC
16-04-2023,Daegu FC,3 - 4,Gwangju FC
22-04-2023,Daegu FC,1 - 0,Daejeon Citizen
26-04-2023,Suwon City FC,1 - 1,Daegu FC
30-04-2023,Suwon Bluewings,0 - 1,Daegu FC
05-05-2023,Daegu FC,0 - 3,Ulsan Hyundai FC
09-05-2023,Daegu FC,1 - 1,Pohang Steelers
13-05-2023,Gwangju FC,0 - 2,Daegu FC
20-05-2023,Daejeon Citizen,0 - 1,Daegu FC
27-05-2023,Daegu FC,2 - 2,Incheon United
04-06-2023,Daegu FC,1 - 0,FC Seoul
07-06-2023,Jeonbuk Motors,1 - 0,Daegu FC
10-06-2023,Daegu FC,3 - 1,Suwon City FC
24-06-2023,Ulsan Hyundai FC,3 - 1,Daegu FC
01-07-2023,Daegu FC,1 - 1,Suwon Bluewings
07-07-2023,Jeju United FC,1 - 2,Daegu FC
11-07-2023,Daegu FC,0 - 0,Gangwon FC
15-07-2023,Gwangju FC,1 - 1,Daegu FC
22-07-2023,Daejeon Citizen,1 - 0,Daegu FC
05-08-2023,Daegu FC,0 - 0,Ulsan Hyundai FC
13-08-2023,Incheon United,3 - 1,Daegu FC
19-08-2023,FC Seoul,2 - 2,Daegu FC
26-08-2023,Daegu FC,1 - 0,Jeju United FC
01-09-2023,Daegu FC,1 - 0,Gangwon FC
17-09-2023,Suwon Bluewings,0 - 1,Daegu FC
24-09-2023,Daegu FC,0 - 0,Pohang Steelers
30-09-2023,Jeonbuk Motors,1 - 3,Daegu FC
08-10-2023,Daegu FC,2 - 2,Suwon City FC
21-10-2023,Daegu FC,1 - 2,Jeonbuk Motors
29-10-2023,Ulsan Hyundai FC,2 - 0,Daegu FC
11-11-2023,Daegu FC,1 - 1,Gwangju FC
25-11-2023,Pohang Steelers,1 - 0,Daegu FC
03-12-2023,Daegu FC,2 - 1,Incheon United
26-02-2023,Daejeon Citizen,2 - 0,Gangwon FC
04-03-2023,Incheon United,3 - 3,Daejeon Citizen
11-03-2023,Daejeon Citizen,0 - 0,Pohang Steelers
19-03-2023,Suwon Bluewings,1 - 3,Daejeon Citizen
01-04-2023,Daejeon Citizen,3 - 2,FC Seoul
09-04-2023,Suwon City FC,5 - 3,Daejeon Citizen
16-04-2023,Daejeon Citizen,2 - 1,Ulsan Hyundai FC
22-04-2023,Daegu FC,1 - 0,Daejeon Citizen
26-04-2023,Jeonbuk Motors,1 - 2,Daejeon Citizen
30-04-2023,Daejeon Citizen,0 - 3,Jeju United FC
06-05-2023,Gwangju FC,0 - 0,Daejeon Citizen
10-05-2023,Daejeon Citizen,2 - 1,Suwon City FC
13-05-2023,Pohang Steelers,3 - 2,Daejeon Citizen
20-05-2023,Daejeon Citizen,0 - 1,Daegu FC
28-05-2023,Ulsan Hyundai FC,3 - 3,Daejeon Citizen
04-06-2023,Daejeon Citizen,1 - 3,Incheon United
07-06-2023,Gangwon FC,1 - 2,Daejeon Citizen
10-06-2023,Daejeon Citizen,1 - 1,Gwangju FC
24-06-2023,Jeju United FC,1 - 1,Daejeon Citizen
01-07-2023,FC Seoul,0 - 0,Daejeon Citizen
09-07-2023,Daejeon Citizen,2 - 2,Suwon Bluewings
12-07-2023,Daejeon Citizen,2 - 2,Jeonbuk Motors
16-07-2023,Incheon United,2 - 0,Daejeon Citizen
22-07-2023,Daejeon Citizen,1 - 0,Daegu FC
04-08-2023,Gwangju FC,3 - 0,Daejeon Citizen
13-08-2023,Daejeon Citizen,4 - 3,FC Seoul
20-08-2023,Pohang Steelers,4 - 3,Daejeon Citizen
25-08-2023,Jeonbuk Motors,1 - 1,Daejeon Citizen
01-09-2023,Daejeon Citizen,0 - 1,Suwon City FC
16-09-2023,Ulsan Hyundai FC,1 - 1,Daejeon Citizen
23-09-2023,Daejeon Citizen,3 - 1,Suwon Bluewings
01-10-2023,Gangwon FC,1 - 1,Daejeon Citizen
08-10-2023,Daejeon Citizen,1 - 0,Jeju United FC
22-10-2023,Daejeon Citizen,1 - 1,Suwon City FC
29-10-2023,Suwon Bluewings,2 - 2,Daejeon Citizen
11-11-2023,Daejeon Citizen,0 - 1,Gangwon FC
25-11-2023,Jeju United FC,0 - 2,Daejeon Citizen
02-12-2023,Daejeon Citizen,2 - 2,FC Seoul
25-02-2023,FC Seoul,2 - 1,Incheon United
05-03-2023,Gwangju FC,0 - 2,FC Seoul
12-03-2023,FC Seoul,1 - 2,Ulsan Hyundai FC
18-03-2023,Jeju United FC,1 - 2,FC Seoul
01-04-2023,Daejeon Citizen,3 - 2,FC Seoul
08-04-2023,FC Seoul,3 - 0,Daegu FC
15-04-2023,Pohang Steelers,1 - 1,FC Seoul
22-04-2023,FC Seoul,3 - 1,Suwon Bluewings
26-04-2023,Gangwon FC,3 - 2,FC Seoul
29-04-2023,Suwon City FC,0 - 3,FC Seoul
05-05-2023,FC Seoul,1 - 1,Jeonbuk Motors
09-05-2023,FC Seoul,3 - 1,Gwangju FC
14-05-2023,Ulsan Hyundai FC,3 - 2,FC Seoul
20-05-2023,FC Seoul,1 - 1,Jeju United FC
28-05-2023,FC Seoul,1 - 0,Gangwon FC
04-06-2023,Daegu FC,1 - 0,FC Seoul
07-06-2023,Incheon United,1 - 1,FC Seoul
11-06-2023,FC Seoul,1 - 1,Pohang Steelers
24-06-2023,Suwon Bluewings,0 - 1,FC Seoul
01-07-2023,FC Seoul,0 - 0,Daejeon Citizen
08-07-2023,Jeonbuk Motors,2 - 1,FC Seoul
12-07-2023,FC Seoul,7 - 2,Suwon City FC
15-07-2023,Gangwon FC,1 - 1,FC Seoul
22-07-2023,FC Seoul,0 - 1,Incheon United
04-08-2023,FC Seoul,2 - 2,Pohang Steelers
13-08-2023,Daejeon Citizen,4 - 3,FC Seoul
19-08-2023,FC Seoul,2 - 2,Daegu FC
