book_title,book_author,book_length
Bare,By: Raina O'Dell,Length: 10 hrs and 7 mins
Forsaken Relic,"By: Caroline Peckham, Susanne Valenti",Length: 10 hrs and 14 mins
Alpha Theo,By: C.J. Primer,Length: 12 hrs and 4 mins
Wolves of the Wastes,By: D.E. Sherman,Length: 18 hrs and 19 mins
I Never Knew Myself,By: Melanie Rachel,Length: 13 hrs and 42 mins
The Primal Hunter 9: A LitRPG Adventure,By: Zogarth,Length: 20 hrs and 23 mins
Practical Adept,By: Terry Mancour,Length: 32 hrs and 57 mins
Alpha,By: Aleron Kong,Length: 14 hrs and 1 min
Junkyard Roadhouse,By: Faith Hunter,Length: 4 hrs and 36 mins
Ascension,By: Kerberos,Length: 9 hrs and 37 mins
Pieces of Us,"By: T. B. Markinson, Miranda MacLeod",Length: 10 hrs and 14 mins
Beyond the Badge: Nox,By: Jeanne St. James,Length: 11 hrs and 31 mins
So This Is War,By: Meghan Quinn,Length: 13 hrs and 45 mins
Craving Chaos,By: Jill Ramsower,Length: 8 hrs and 32 mins
Mean Spirited,"By: Nick Roberts, Crystal Lake Publishing, Crystal Lake Audio",Length: 10 hrs and 9 mins
Defiance of the Fall 13,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 35 mins
Sunrise on the Reaping,By: Suzanne Collins,Length: Not Yet Known
The Sinner,By: Dannika Dark,Length: 11 hrs and 4 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 36 mins
How Leaders Learn,"By: David Novak, Lari Bishop - contributor",Length: 7 hrs
Bare,By: Raina O'Dell,Length: 10 hrs and 7 mins
Forsaken Relic,"By: Caroline Peckham, Susanne Valenti",Length: 10 hrs and 14 mins
Alpha Theo,By: C.J. Primer,Length: 12 hrs and 4 mins
Wolves of the Wastes,By: D.E. Sherman,Length: 18 hrs and 19 mins
I Never Knew Myself,By: Melanie Rachel,Length: 13 hrs and 42 mins
The Primal Hunter 9: A LitRPG Adventure,By: Zogarth,Length: 20 hrs and 23 mins
Practical Adept,By: Terry Mancour,Length: 32 hrs and 57 mins
Alpha,By: Aleron Kong,Length: 14 hrs and 1 min
Junkyard Roadhouse,By: Faith Hunter,Length: 4 hrs and 36 mins
Ascension,By: Kerberos,Length: 9 hrs and 37 mins
Pieces of Us,"By: T. B. Markinson, Miranda MacLeod",Length: 10 hrs and 14 mins
Beyond the Badge: Nox,By: Jeanne St. James,Length: 11 hrs and 31 mins
So This Is War,By: Meghan Quinn,Length: 13 hrs and 45 mins
Craving Chaos,By: Jill Ramsower,Length: 8 hrs and 32 mins
Mean Spirited,"By: Nick Roberts, Crystal Lake Publishing, Crystal Lake Audio",Length: 10 hrs and 9 mins
Defiance of the Fall 13,"By: TheFirstDefier, JF Brink",Length: 24 hrs and 35 mins
Sunrise on the Reaping,By: Suzanne Collins,Length: Not Yet Known
The Sinner,By: Dannika Dark,Length: 11 hrs and 4 mins
He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 36 mins
How Leaders Learn,"By: David Novak, Lari Bishop - contributor",Length: 7 hrs
